id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
0,why was the cottager treated differently after returning to the wedding-feast ?,implicit,"once upon a time there was a big wedding at a certain farmstead , and a certain cottager was on his way to the wedding - feast . as he chanced to cross a field , he found a milk - strainer , such as are usually made of cows ' tails , and looking just like an old brown rag . he picked it up , for he thought it could be washed , and then he would give it to his wife for a dish - rag . but when he came to the house where they were celebrating the wedding , it seemed as though no one saw him . the b",they could see him .,he was received in right friendly fashion .,"he was treated differently because he had found something that he didn't want, and he couldn't take it.",0.0,0.0,0.0,0.0,0.14814814814814817,0.08,0.14814814814814817,0.14814814814814817,0.06108557268562171,"[0.09523809523809523, 0.05, 0.05263157894736842, 0.05555555555555555]",1.0,4.0,20,5,0.08638804535733371,"[0.19047619047619047, 0.1, 0.05263157894736842, 0.05555555555555555]",1.0,2.5,20,8,-1.4250605,-1.0177602
1,how did ian feel after he reached the place where the lady lived ?,implicit,"' bear me to the kingdom of the king under the waves , ' he answered , and one little bird flew on to his head , and the others perched on each of his shoulders , and he shut his eyes , and in a moment there he was in the country under the sea . then the birds flew away , and the young man looked about him , his heart beating fast at the thought that here dwelt the lady whom he had sought all the world over . he walked on through the streets , and presently he reached the house of a weaver who w",nervous .,excited .,"he felt relieved, happy, and contented.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,4.5,9,2,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,4.5,9,2,-1.6936493,-0.41272795
2,how did maie feel after she woke up from her dream ?,implicit,"' heavens , mother , ' said he , ' where are you coming from at such a whirlwind pace , and what makes you in such a dripping condition ? ' maie looked around her amazed , and said , ' where is our two - storey house ? ' ' what house ? ' asked her husband . ' our big house , and the flower garden , and the men and the maids , and the thirty beautiful cows , and the steamer , and everything else ? ' ' you are talking nonsense , mother , ' said he . ' the students have quite turned your head , for",confused .,very confused .,she felt tired and sleepy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,2.0,6,3,-1.0883904,-0.9051543
3,why was the happy hunter happy to meet the daughters of ryn jin ?,implicit,""" are you indeed the daughters of ryn jin , the king of the sea ? i can not tell you how glad i am to meet you , "" said the happy hunter . and without waiting for them to reply he went on : "" the other day i went fishing with my brother 's hook and dropped it , how , i am sure i ca n't tell . as my brother prizes his fishing hook above all his other possessions , this is the greatest calamity that could have befallen me . unless i find it again i can never hope to win my brother 's forgiveness ,",he needed to ask ryn jin to help him .,he was looking for ryn jin .,"the happy hunter was happy because they had found their lost hook, which made him feel relieved.",0.07692307692307691,0.0,0.07692307692307691,0.07692307692307691,0.08695652173913045,0.0,0.08695652173913045,0.08695652173913045,0.0712695567709093,"[0.15, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,1.9,19,10,0.0712695567709093,"[0.15, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,2.7142857142857144,19,7,-1.3472155,-1.5319769
4,why did the disagreeable neighbor ask the good old man about the loss of his wen ?,implicit,"he heard at once , through the servant , of his neighbor 's good luck in losing the lump on his face , so he called that very evening and asked his friend to tell him everything that concerned the loss of it . the good old man told his disagreeable neighbor all that had happened to him . he described the place where he would find the hollow tree in which to hide , and advised him to be on the spot in the late afternoon towards the time of sunset .",he also wants to remove his wen .,he wanted to know how the old man removed it .,the disagreement between them caused the disagreeable neighbor to ask for advice about how to deal with the lost lump.,0.07407407407407408,0.0,0.07407407407407408,0.07407407407407408,0.2,0.0,0.2,0.2,0.06429451441231726,"[0.13636363636363635, 0.047619047619047616, 0.05, 0.05263157894736842]",1.0,2.625,21,8,0.07305267243289862,"[0.22727272727272727, 0.047619047619047616, 0.05, 0.05263157894736842]",1.0,1.9090909090909092,21,11,-1.3652456,-1.0848835
5,how did the young men feel after matte and maie fed them ?,implicit,"but the herring were now ready , and the students ate enough for six , and gave prince some cold meat which they happened to have in the boat . prince sat on his hind legs with delight and mewed like a pussy cat . when all was finished , the students handed matte a shining silver coin , and allowed him to fill his pipe with a special kind of tobacco . they then thanked him for his kind hospitality and went on their journey , much regretted by prince , who sat with a woeful expression and whined ",grateful .,thankful .,they were very satisfied with what they had eaten.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12605968092174913,"[0.18181818181818182, 0.1, 0.1111111111111111, 0.125]",1.0,5.0,10,2,0.12605968092174913,"[0.18181818181818182, 0.1, 0.1111111111111111, 0.125]",1.0,5.0,10,2,-0.7441232,-0.7857184
6,why was the wedding ceremony so grand ?,implicit,"at last they returned to the palace bringing with them a lovely young dragon . her scales were of glittering green like the wings of summer beetles , her eyes threw out glances of fire , and she was dressed in gorgeous robes . all the jewels of the sea worked in with embroidery adorned them . the king fell in love with her at once , and the wedding ceremony was celebrated with great splendor . every living thing in the sea , from the great whales down to the little shrimps , came in shoals to of",it was the king 's wedding .,rin jin was finally getting married .,the wedding ceremony was celebrated with great splendor because everyone came in shoals to offer their congratulations to the bride and bridegroom and to wish them a long and prosperous life.,0.16216216216216214,0.0,0.1081081081081081,0.1081081081081081,0.05405405405405405,0.0,0.05405405405405405,0.05405405405405405,0.04750133160738243,"[0.15151515151515152, 0.03125, 0.03225806451612903, 0.03333333333333333]",1.0,4.571428571428571,32,7,0.04180647946097227,"[0.09090909090909091, 0.03125, 0.03225806451612903, 0.03333333333333333]",1.0,4.571428571428571,32,7,-1.0583476,-1.4354578
7,why did the tai want the hook to come out ?,implicit,"the cuttlefish now came forward , and said to the king : "" what i said was right . you see the hook still sticks in the tai 's throat . i hope to be able to pull it out in the presence of the mikoto , and then we can return it to him safely ! "" "" o please make haste and pull it out ! "" cried the tai , pitifully , for he felt the pains in his throat coming on again ; "" i do so want to return the hook to the mikoto . "" "" all right , tai san , "" said his friend the cuttlefish , and then opening the",it was causing a great pain .,he felt pains in his throat coming on again .,he wanted to return the hook to the mikoto safely.,0.0,0.0,0.0,0.0,0.10526315789473685,0.0,0.10526315789473685,0.10526315789473685,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.5714285714285714,11,7,0.12605968092174913,"[0.25, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.1,11,10,-1.5011096,-1.3008001
8,why did maie row out to sea on sunday night ?,implicit,"' we shall require a better house , ' said maie the following summer ; ' the old one is too small for ourselves and the men . ' ' yes , ' said matte . so he built a large cottage , with a real lock to the door , and a store - house for fish as well ; and he and his men caught such quantities of fish that they sent tons of salmon , herring , and cod to russian and sweden . ' i am quite overworked with so many folk , ' said maie ; ' a girl to help me would not come amiss . ' ' get one , then , ' s",she needed to sing the magic rhyme .,to sing the magic rhyme and get three cows .,she wanted to see the fairies singing a song.,0.375,0.0,0.375,0.375,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.15851165692617156,"[0.45454545454545453, 0.1, 0.1111111111111111, 0.125]",1.0,1.25,10,8,0.14991106946711685,"[0.36363636363636365, 0.1, 0.1111111111111111, 0.125]",1.0,1.0,10,10,-0.20650843,-1.2270465
9,why was the gentleman in despair on the fourteenth night ?,implicit,"the young man raised his head as if to reply , but the king would not listen , and commanded his guards to put him under arrest , adding , however , that if the prisoner wished to visit any part of the city , he was at liberty to do so properly guarded , and in fifteen days he would be brought to trial before the highest judges in the land . the young man left the king 's presence , surrounded by soldiers , and accompanied by many of his friends , for he was a great favourite . by their advice h",he needed to go to trial the next day .,he would die the next day .,the gentleman did not know where he was going because of the blow he gave to the prince.,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.08097785064266201,"[0.25, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,1.9,19,10,0.07658412276041004,"[0.2, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,2.7142857142857144,19,7,-1.2609144,-1.2331576
