id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
0,what did the weaver's husband want her to do ?,implicit,""" what 's that , tibby ? "" said the weaver , with a start as the little cake flew past him . "" oh ! "" cried she in delight , jumping to her feet , "" it is a wee bannock . i wonder where it came from ? "" "" dinna bother your head about that , tibby , "" said her man , "" but grip it , my woman , grip it . """,grab the bannock .,grip it .,"The weaver's husband wanted her to hold the small cake and keep it close to her body, so she could eat it later on.",0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07407407407407407,0.0,0.07407407407407407,0.07407407407407407,0.051660454541342535,"[0.1111111111111111, 0.038461538461538464, 0.04, 0.041666666666666664]",1.0,6.5,26,4,0.051660454541342535,"[0.1111111111111111, 0.038461538461538464, 0.04, 0.041666666666666664]",1.0,8.666666666666666,26,3,-1.8227786,-1.575173
1,how did maie feel after her husband did not let her buy a cow ?,implicit,"' what would you do with a cow ? ' asked matte . ' she could not swim so far , and our boat is not large enough to bring her over here ; and even if we had her , we have nothing to feed her on . ' ' we have four alder bushes and sixteen tufts of grass , ' rejoined maie . ' yes , of course , ' laughed matte , ' and we have also three plants of garlic . garlic would be fine feeding for her . ' ' every cow likes salt herring , ' rejoined his wife . ' even prince is fond of fish . ' ' that may be , ",sad .,saddened .,"After her husband did not let her buy a cow, Maie felt frustrated and disappointed. She was used to having a cow and now had to give up on it due to lack of resources and financial support. Her disappointment made her angry and upset.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02452625300522044,"[0.04, 0.02040816326530612, 0.020833333333333332, 0.02127659574468085]",1.0,24.5,49,2,0.02452625300522044,"[0.04, 0.02040816326530612, 0.020833333333333332, 0.02127659574468085]",1.0,24.5,49,2,-1.3935102,-1.2800059
2,what did the tailor's wife and the three tailors want to do with the bannock after they caught it ?,implicit,"now , it chanced that this house belonged to a tailor , and he and his two apprentices were sitting cross - legged on the top of a big table by the window , sewing away with all their might , while the tailor 's wife was sitting beside the fire carding lint . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . "" hoot , "" she said , "" what a set of cowards ye be ! it is but a nic",eat the bannock .,split it between them and drink milk .,"The tailor's wife wanted to take the bannock home for herself, as it was not good enough to split it among them. The tailors wanted to keep it themselves, so they went ahead and ate it.",0.1,0.05263157894736842,0.1,0.1,0.18181818181818182,0.04761904761904762,0.18181818181818182,0.18181818181818182,0.04259410369301382,"[0.0975609756097561, 0.05, 0.02564102564102564, 0.02631578947368421]",1.0,10.0,40,4,0.04713812444289911,"[0.14634146341463414, 0.05, 0.02564102564102564, 0.02631578947368421]",1.0,5.0,40,8,-1.4434128,-1.506901
3,why did all three daughters have to spend the night with the goose ?,implicit,"then dullhead fell to at once to hew down the tree , and when it fell he found amongst its roots a goose , whose feathers were all of pure gold . he lifted it out , carried it off , and took it with him to an inn where he meant to spend the night . now the landlord of the inn had three daughters , and when they saw the goose they were filled with curiosity as to what this wonderful bird could be , and each longed to have one of its golden feathers . the eldest thought to herself : ' no doubt i s",they were all stuck to the goose .,they were stuck to the goose .,"All three daughters had to spend the night with the goose because it was their grandmother's birthday and everyone wanted to celebrate. The goose was considered a gift from the grandmother, and everyone wanted to use it for something special or fun. The eldest daughter noticed that the goose was golden and beautiful, and she wanted to take a piece of it for herself. She used her fingers to grasp onto the goose and kept holding onto it until it stopped moving. The youngest daughter also wanted to take a piece of the",0.07920792079207921,0.020202020202020204,0.07920792079207921,0.07920792079207921,0.06,0.020408163265306128,0.06,0.06,0.018054761209346074,"[0.05, 0.020202020202020204, 0.01020408163265306, 0.010309278350515464]",1.0,12.375,99,8,0.018054761209346074,"[0.05, 0.020202020202020204, 0.01020408163265306, 0.010309278350515464]",1.0,14.142857142857142,99,7,-1.5643634,-1.6135697
4,what did the nurse long for ?,implicit,"' the king of granada is my father , and i was born in the palace which overlooks the plain of the vega . i was only a few months old when a wicked fairy , who had a spite against my parents , cast a spell over me , bending my back and wrinkling my skin till i looked as if i was a hundred years old , and making me such an object of disgust to everyone , that at length the king ordered my nurse to take my away from the palace . she was the only person who cared about me , and we lived together in",the princess 's wrinkles to disappear .,that the princess ' wrinkled skin should disappear .,"the nurse wished for the prince to die. 

reasoning:
in the passage, the nurse wanted the prince to die because she believed it was the curse of the fairy that made him look as if he were hundreds of years old. therefore, she desired him to die so that the curse could be lifted. additionally, the nurse was concerned about the prince's health and wanted to make sure he was healthy enough to have sex with her. however, the prince refused to listen to her and continued to",0.06315789473684211,0.0,0.06315789473684211,0.06315789473684211,0.041666666666666664,0.021276595744680854,0.041666666666666664,0.041666666666666664,0.014656046551483422,"[0.04081632653061224, 0.010309278350515464, 0.010416666666666666, 0.010526315789473684]",1.0,13.857142857142858,97,7,0.017429074836835173,"[0.04081632653061224, 0.020618556701030927, 0.010416666666666666, 0.010526315789473684]",1.0,10.777777777777779,97,9,-1.6507529,-1.4620209
5,why did the widowed mistress lay down her child at the tree root ?,implicit,"now in this fir wood there was an old quarry hole , in the bottom of which was a bonnie spring well , the water of which was always sweet and pure . the young widow was walking near this quarry hole , when , to her astonishment , she heard the whirr of a spinning - wheel and the sound of a voice lilting a song . at first she could not think where the sound came from ; then , remembering the quarry , she laid down her child at a tree root , and crept noiselessly through the bushes on her hands an",she wanted to find where the sound came from .,to investigat the noise in the quarry .,"The young widow had been wandering through the woods near the quarry, hoping to find shelter or food. When she heard the sound of a spinning wheel and saw a spinning chair spinning, she was taken aback. She quickly hid behind a tree and crept towards the edge of the quarry, looking anxiously for some sort of hiding place. It occurred to her that if she kept quiet, the fairy might not hear her. Therefore, she made a run for it, hoping that someone would come along",0.10416666666666666,0.0425531914893617,0.08333333333333333,0.08333333333333333,0.08510638297872342,0.02173913043478261,0.08510638297872342,0.08510638297872342,0.022184858427352024,"[0.07142857142857142, 0.030927835051546393, 0.010416666666666666, 0.010526315789473684]",1.0,9.7,97,10,0.019288441999029314,"[0.061224489795918366, 0.020618556701030927, 0.010416666666666666, 0.010526315789473684]",1.0,12.125,97,8,-1.0861351,-1.3684417
6,how did the king feel after the gentleman gave him the rings and the cross ?,implicit,"' by and bye i was born , and was brought up by my grandfather in one of his great houses . here are the rings you gave to my mother , and here is the cross , and these will prove if i am your son or not . ' as he spoke the young man laid the jewels at the feet of the king , and the nobles and the judges pressed round to examine them . the king alone did not move from his seat , for he had forgotten the hall of justice and all about him , and saw only the apple - orchard , as it was twenty years",surprised .,choked - up .,"The king felt a sense of relief when the gentlemen gave him the rings and the cross. This act of kindness was unexpected, and it left him feeling grateful and happy. He may have also been surprised that the gentleman had come to see him, and he may have felt honored that someone would pay attention to him in this way. Overall, the king may have felt a mixture of emotions, including gratitude and happiness.",0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.015953877434122275,"[0.03571428571428571, 0.012048192771084338, 0.012195121951219513, 0.012345679012345678]",1.0,41.5,83,2,0.01441595561481878,"[0.023809523809523808, 0.012048192771084338, 0.012195121951219513, 0.012345679012345678]",1.0,20.75,83,4,-1.4363172,-1.9082156
7,what happened after the storm went away ?,implicit,"both rose . the summer night was as dark as if it had been october , the weather - cock creaked , and the storm was raging in every direction . as they went out the sea lay around them as white as now , and the spray was dashing right over the fisher - hut . in all his life matte had never remembered such a night . to launch the boat and put to sea to rescue the net was a thing not to be thought of . the fisherman and his wife stood aghast on the doorstep , holding on fast by the doorpost , whil",a cow appeared .,matte and maie saw a cow outside their home .,"After the storm went away, the fisherman and his wife woke up and realized that something strange was happening outside. The sky became white again, and a large wave was crashing over their cottage. They tried to go inside, but there was no way because the water was rushing in from the sea.

As the storm passed, the weather got worse, and the wind started blowing more strongly. The fisherman decided to stay outside, hoping that the storm would pass and they could find some food or shelter",0.02197802197802198,0.0,0.02197802197802198,0.02197802197802198,0.08247422680412371,0.0,0.06185567010309277,0.08247422680412371,0.013499082584817919,"[0.030303030303030304, 0.01020408163265306, 0.010309278350515464, 0.010416666666666666]",1.0,24.5,98,4,0.016053205055874785,"[0.06060606060606061, 0.01020408163265306, 0.010309278350515464, 0.010416666666666666]",1.0,9.8,98,10,-2.047444,-1.6562598
8,how did the two eldest sons treat the little grey man ?,implicit,"there was once a man who had three sons . the youngest of them was called dullhead , and was sneered and jeered at and snubbed on every possible opportunity . one day it happened that the eldest son wished to go into the forest to cut wood , and before he started his mother gave him a fine rich cake and a bottle of wine , so that he might be sure not to suffer from hunger or thirst . when he reached the forest he met a little old grey man who wished him ' good - morning , ' and said : ' do give ",poorly .,unkindly .,"The first answer is wrong because the passage does not mention anything about the father treating the older son kindly, nor does it mention anything about the younger son being treated kindly either. Therefore, the answer cannot be correct.

The second answer is also incorrect because the story does not tell us whether the father treats the elder son kindly or not. It simply says that the elder son lost his leg due to an accident while cutting wood, which could mean that the father may have been kind to him, or not",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01195258491917311,"[0.019801980198019802, 0.01, 0.010101010101010102, 0.01020408163265306]",1.0,50.0,100,2,0.01195258491917311,"[0.019801980198019802, 0.01, 0.010101010101010102, 0.01020408163265306]",1.0,50.0,100,2,-1.7701921,-1.3918415
9,how did countess fraukirk and countess helga feel after they received the sealed packet ?,implicit,"they opened the casement , and with a hoarse croak the creature let the packet drop on to the floor ; then it flapped its great wings and rose slowly into the air again its head turned in the direction of hoy . with fingers that trembled with excitement they broke the seals and undid the packet . it contained a piece of the most beautiful material that anyone could possibly imagine , woven in all the colours of the rainbow , and sparkling with gold and jewels . "" twill make a bonnie waistcoat , ",excited .,excitement .,"countess fraukirk felt excited and delighted after receiving the sealed packet. she had been waiting for it for some time, and now she was able to see what it looked like. she couldn't wait to show her father what she found. additionally, she wanted to use this as a fashion accessory. she knew that her father would be proud of her. therefore, she was very happy and relieved when she saw the package. however, there was one thing that worried her - she didn't know",0.022988505747126436,0.0,0.022988505747126436,0.022988505747126436,0.0,0.0,0.0,0.0,0.013927683964178388,"[0.03125, 0.010526315789473684, 0.010638297872340425, 0.010752688172043012]",1.0,47.5,95,2,0.012585083135676288,"[0.020833333333333332, 0.010526315789473684, 0.010638297872340425, 0.010752688172043012]",1.0,47.5,95,2,-1.4648131,-1.5619273
