id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
0,who did the cook say cooked the soup ?,explicit,"when the dance was ended , the king had his soup brought to him and ate it , and it was so good that he thought he had never tasted such soup in his life . but when he came to the bottom of the dish he saw a gold ring lying there , and he could not imagine how it got in . then he commanded the cook to be brought before him . the cook was terrified when he heard the command , and said to the many - furred creature , ' you must have let a hair fall into the soup , and if you have you deserve a goo",the many - furred creature .,the many - furred creature did .,the king,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,0.10283257773094409,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,0.06237111121110017,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.0820849986238988,0.2857142857142857,2,7,0.8283114433288574,0.8288217186927795,-1.3537391,-1.3911833
1,where did the young man chase the deer to ?,explicit,"on they went , on and on and one , till they reached a cottage which was thatched with heather . with a bound the deer sprang on the roof , and lay down where none could see her , but as she did so she called out , ' go in , fisher 's son , and eat and drink while you may . ' so he entered and found food and wine on the table , but no man , for the house belonged to some robbers , who were still away at their wicked business . after ian , the fisher 's son , had eaten all he wanted , he hid hims",a cottage .,a cottage .,the house,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.9054259657859802,0.9054259657859802,-0.15933652,-0.15933652
2,who went into the forest next ?,explicit,"but this clever son replied : ' if i give you my cake and wine i shall have none left for myself ; you just go your own way ; ' and he left the little man standing there and went further on into the forest . there he began to cut down a tree , but before long he made a false stroke with his axe , and cut his own arm so badly that he was obliged to go home and have it bound up . then the second son went to the forest , and his mother gave him a good cake and a bottle of wine as she had to his eld",the second son .,the second son .,the little man,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.38498150077635496,"[0.5, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.38498150077635496,"[0.5, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.8596782088279724,0.8596782088279724,-0.92217785,-0.92217785
3,what did the woman not have ?,explicit,"once upon a time there was a mill , in which it was impossible to grind flour , because such strange things kept happening there . but there was a poor woman who was in urgent need of a little meal one evening , and she asked whether they would not allow her to grind a little flour during the night . "" for heaven 's sake , "" said the mill - owner , "" that is quite impossible ! there are ghosts enough in the mill as it is . "" but the woman said that she must grind a little ; for she did not have ",a pinch of flour in the house .,she did not have a pinch of flour .,a pinch of flour in the house with which to make mush,0.7368421052631579,0.7058823529411764,0.7368421052631579,0.7368421052631579,0.4,0.33333333333333326,0.4,0.4,0.5593684915933074,"[0.6153846153846154, 0.5833333333333334, 0.5454545454545454, 0.5]",1.0,1.5,12,8,0.2891784933232571,"[0.38461538461538464, 0.3333333333333333, 0.2727272727272727, 0.2]",1.0,1.3333333333333333,12,9,0.9280978441238403,0.8832262754440308,0.012627304,-1.320322
4,why did the old woman take the gentleman to a priest's house ?,implicit,"left to himself , the full horror of his coming death rushed upon the young man , and he understood that he had thrown away his sole chance of life . well , if he must , he must , he said to himself , and began to run as fast as he could after the old crone , who by this time could scarcely be seen , even in the moonlight . who would have believed a woman past ninety could walk with such speed ? it seemed more like flying ! but at length , breathless and exhausted , he reached her side , and gas",she wanted him to promise to be her husband in front of witnesses .,the old woman bade the prisoner swear that she should be his wife and this he did in the presence of witnesses .,she was a prisoner .,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.04994299940831281,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.16529888822158656,0.35714285714285715,5,14,0.00887113600998264,"[0.6666666666666666, 0.2, 0.25, 0.3333333333333333]",0.027323722447292545,0.21739130434782608,5,23,0.8671422600746155,0.8514119982719421,-1.2883666,-1.1334704
5,where did the poor young widow woman live ?,explicit,"i am going to tell you a story about a poor young widow woman , who lived in a house called kittlerumpit , though whereabouts in scotland the house of kittlerumpit stood nobody knows . some folk think that it stood in the neighbourhood of the debateable land , which , as all the world knows , was on the borders , where the old border reivers were constantly coming and going ; the scotch stealing from the english , and the english from the scotch . be that as it may , the widowed mistress of kitt",in a house called kittlerumpit .,kittlerumpit .,kittlerumpit,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,1.0,0.0,1.0,1.0,0.006737946999085467,"[1.0, 1.0, 1.0, 1.0]",0.006737946999085467,0.16666666666666666,1,6,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.8768143057823181,0.9670166969299316,-0.57115126,0.7407969
6,what happened because of the happy hunter's pleading ?,explicit,"who could resist the pleading of so wise and compassionate a judge ? ryn jin forgave his subject at once at the request of his august guest . the tai was so glad that he shook his fins for joy , and he and all the other fish went out from the presence of their king , praising the virtues of the happy hunter .",ryn jin forgave his subject at once .,ryn jin forgave his subject .,"ryn jin shook his fins for joy , and he and all the other fish went out from the presence of their king , praising the virtues of the happy hunter .",0.16666666666666663,0.058823529411764705,0.16666666666666663,0.16666666666666663,0.17647058823529413,0.0625,0.17647058823529413,0.17647058823529413,0.05648892151960283,"[0.15151515151515152, 0.0625, 0.03225806451612903, 0.03333333333333333]",1.0,4.0,32,8,0.05648892151960283,"[0.15151515151515152, 0.0625, 0.03225806451612903, 0.03333333333333333]",1.0,5.333333333333333,32,6,0.8804585337638855,0.8769815564155579,-0.7176472,-0.7273108
7,what did the widowed mistress do to earn enough money ?,explicit,"at any rate , his poor young wife was sorely to be pitied , for she was left with a little baby - boy to bring up , and , as times were bad , she had not much to live on . but she loved her baby dearly , and worked all day amongst her cows , and pigs , and hens , in order to earn enough money to buy food and clothes for both herself and him . now , on the morning of which i am speaking , she rose very early and went out to feed her pigs , for rent - day was coming on , and she intended to take o","worked all day amongst her cows , and pigs , and hens .","worked all day amongst her cows , and pigs and hens .","The widowed mistress worked all day amongst her cows , and pigs , and hens , in order to earn enough money to buy food and clothes for both herself and him .",0.5128205128205129,0.4864864864864865,0.5128205128205129,0.5128205128205129,0.5128205128205129,0.4864864864864865,0.5128205128205129,0.5128205128205129,0.3589627299986206,"[0.4117647058823529, 0.36363636363636365, 0.34375, 0.3225806451612903]",1.0,2.5384615384615383,33,13,0.28438501763637236,"[0.38235294117647056, 0.30303030303030304, 0.25, 0.22580645161290322]",1.0,2.75,33,12,0.9145981669425964,0.9058234095573425,-0.7382841,-0.7532996
8,how did the women feel when they saw the jewel ?,explicit,"the two ladies took the cup , and looking into it to see what he had put inside - for they did not yet know what it was - they gave a start of surprise , for there lay a beautiful gem at the bottom of the cup . "" no ordinary mortal would give away a jewel so freely . will you not honor us by telling us who you are ? "" said the elder damsel . "" certainly , "" said the happy hunter , "" i am hohodemi , the fourth mikoto , also called in japan , the happy hunter . """,surprised .,surprised .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.8829385042190552,0.8829385042190552,-1.2381638,-1.2381638
9,why did the king make fresh conditions ?,explicit,"then dullhead asked once more for his bride , but the king felt vexed at the idea of a stupid fellow whom people called ' dullhead ' carrying off his daughter , and he began to make fresh conditions . he required dullhead to find a man who could eat a mountain of bread . dullhead did not wait to consider long but went straight off to the forest , and there on the same spot sat a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while . said he",he felt vexed at the idea of a stupid fellow whom people called ' dullhead ' carrying off his daughter .,he felt vexed at the idea of a stupid fellow carrying off his daughter .,the king wanted to make fresh conditions for his daughter .,0.21428571428571427,0.07692307692307691,0.21428571428571427,0.21428571428571427,0.25,0.09090909090909093,0.25,0.25,0.09031565546286666,"[0.4166666666666667, 0.2727272727272727, 0.2, 0.1111111111111111]",0.40289032152913307,0.5238095238095238,11,21,0.1558299521718269,"[0.4166666666666667, 0.2727272727272727, 0.2, 0.1111111111111111]",0.6951439283988786,0.7333333333333333,11,15,0.8588021993637085,0.8758834600448608,-1.5027788,-1.2102174
