id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
0,how did paul calm harold down ?,implicit,"but that was just the very thing that happened . the lady morna , thinking no evil , accepted the countess helga 's invitation , and no sooner had the party arrived back in orkney than paul , charmed with the grace and beauty of the fair irish maiden , fell head over ears in love with her . and the lady morna , from the very first hour that she saw him , returned his love . of course this state of things could not long go on hidden , and when harold realised what had happened his anger and jealo",flattered him .,he flattered harold 's way with words .,harold,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.0009118819655545162,"[1.0, 1.0, 1.0, 1.0]",0.0009118819655545162,0.125,1,8,-0.8455033,-1.1773744
1,why didn't the goodman have his coat when he was chasing the bannock ?,implicit,""" what 's that ? "" said he , "" for the bowl of brose that i had at supper - time was n't very big . "" "" catch it , then , "" answered his wife , "" and i 'll have a bit , too . quick ! quick ! throw your coat over it or it will be away . "" so the goodman threw his coat right on the top of the little bannock , and almost managed to smother it ; but it struggled bravely , and got out , breathless and hot , from under it . then it ran out into the grey light again , for night was beginning to fall , ",he threw it on the bannock .,the goodman threw his coat right on top of the little bannock .,"1. the bowl of brose that i had at supper 2. throw your coat over it or it will be away 3. the goodman threw his coat right on the top of the little bannock , and almost managed to smother it ; but it struggled bravely , and got out , breathless and hot , from under it . then it ran out into the grey light again , for night was beginning to fall , and the goodman ran out after it , without his coat . he chased it and chased it through the stackyard and across a field , and in amongst a fine patch of whins . then he lost it ; and , as he was feeling cold without his coat , he went home . 4. the goodman threw his coat right on the top of the little bannock , and almost managed to smother it ; but it struggled bravely , and got out , breathless and hot , from under it .",0.07741935483870968,0.013071895424836602,0.06451612903225808,0.06451612903225808,0.14906832298136646,0.12578616352201258,0.14906832298136646,0.14906832298136646,0.011461553308706563,"[0.045454545454545456, 0.011428571428571429, 0.005747126436781609, 0.005780346820809248]",1.0,25.0,175,7,0.05687596792085336,"[0.07954545454545454, 0.06285714285714286, 0.05172413793103448, 0.04046242774566474]",1.0,13.461538461538462,175,13,-1.6320487,-1.2227468
2,why did the king's wife tell the king the new queen had to be as beautiful as her ?,implicit,"there was once upon a time a king who had a wife with golden hair , and she was so beautiful that you could n't find anyone like her in the world . it happened that she fell ill , and when she felt that she must soon die , she sent for the king , and said , ' if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . ' after the king had promised her this , she closed her eyes and died . for a long",she wanted to preserve her image .,so that the king would never marry .,"1. the king's wife 2. if you want to marry after my death 3. she fell ill 4. if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . 5. if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . 6. if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . 7. if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . 8. if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . 9. messengers were sent far and wide to seek for a bride equal to the late queen in beauty . but there was no one in the wide world , and if there had been she could not have had such golden hair . then messengers came home again , not having been able to find a queen .",0.016129032258064516,0.0,0.016129032258064516,0.016129032258064516,0.024096385542168676,0.008097165991902832,0.024096385542168676,0.024096385542168676,0.005152004710068069,"[0.014492753623188406, 0.0036363636363636364, 0.0036496350364963502, 0.003663003663003663]",1.0,39.285714285714285,275,7,0.005152004710068069,"[0.014492753623188406, 0.0036363636363636364, 0.0036496350364963502, 0.003663003663003663]",1.0,34.375,275,8,-1.4654843,-1.3776714
3,how did the gentleman feel after he realized how fast the old woman ran from him ?,implicit,"left to himself , the full horror of his coming death rushed upon the young man , and he understood that he had thrown away his sole chance of life . well , if he must , he must , he said to himself , and began to run as fast as he could after the old crone , who by this time could scarcely be seen , even in the moonlight . who would have believed a woman past ninety could walk with such speed ? it seemed more like flying ! but at length , breathless and exhausted , he reached her side , and gas",surprised .,impressed .,1. he had thrown away his sole chance of life 2. he had thrown away his sole chance of life 3. the full horror of his coming death rushed upon the young man 4. he understood that he had thrown away his sole chance of life 5. he understood that he had thrown away his sole chance of life 6. the full horror of his coming death rushed upon the young man 7. the full horror of his coming death rushed upon the young man 8. the full horror of his coming death rushed upon the young man 9. the full horror of his coming death rushed upon the young man 10. the full horror of his coming death rushed upon the young man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00890823087543722,"[0.014814814814814815, 0.007462686567164179, 0.007518796992481203, 0.007575757575757576]",1.0,67.0,134,2,0.00890823087543722,"[0.014814814814814815, 0.007462686567164179, 0.007518796992481203, 0.007575757575757576]",1.0,67.0,134,2,-1.6890829,-1.9392852
4,how did the chief steward suggest the jelly fish trick a monkey ?,implicit,""" well , "" said the chief steward , "" if you depend on your strength or dexterity you will never catch a monkey . the only way is to play a trick on one ! "" "" how can i play a trick on a monkey ? i do n't know how to do it , "" said the perplexed jelly fish . "" this is what you must do , "" said the wily chief steward . "" when you approach the island of monkeys and meet some of them , you must try to get very friendly with one . tell him that you are a servant of the dragon king , and invite him t",invite a monkey to the palace .,invite him to come and visit you and see the dragon king 's palace .,1. how can i play a trick on a monkey 2. how can i play a trick on a monkey 3. how did the chief steward suggest the jelly fish trick a monkey ?,0.15384615384615385,0.05405405405405406,0.15384615384615385,0.15384615384615385,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,0.04874286287450103,"[0.13157894736842105, 0.05405405405405406, 0.027777777777777776, 0.02857142857142857]",1.0,5.285714285714286,37,7,0.03607375465514362,"[0.07894736842105263, 0.02702702702702703, 0.027777777777777776, 0.02857142857142857]",1.0,2.466666666666667,37,15,-1.1452645,-1.2784042
5,why was the widowed mistress the most unfortunate woman in the world ?,implicit,""" madam , "" she said , with a sob in her voice , "" i bid you welcome to the house of kittlerumpit , although you find its mistress one of the most unfortunate women in the world . "" "" hout - tout , "" answered the old lady , in such a harsh voice that the young woman started , and grasped her baby tighter in her arms . "" ye have little need to say that . ye have lost your husband , i grant ye , but there were waur losses at shirra - muir . and now your pig is like to die -- i could , maybe , reme",she lost her husband and her pig .,lost her husband .,1. madam 2. welcome to the house of kittlerumpit 3. the widowed mistress is one of the most unfortunate women in the world 4. the widowed mistress is one of the most unfortunate women in the world,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029374336289654013,"[0.047619047619047616, 0.024390243902439025, 0.025, 0.02564102564102564]",1.0,5.125,41,8,0.029374336289654013,"[0.047619047619047616, 0.024390243902439025, 0.025, 0.02564102564102564]",1.0,10.25,41,4,-1.6874597,-1.7676803
6,what will the tailor's wife and the three tailors do to the bannock ?,implicit,"now , it chanced that this house belonged to a tailor , and he and his two apprentices were sitting cross - legged on the top of a big table by the window , sewing away with all their might , while the tailor 's wife was sitting beside the fire carding lint . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . "" hoot , "" she said , "" what a set of cowards ye be ! it is but a nic",try to catch the bannock .,eat it with milk .,"1. the tailor 's wife and the three tailors are sitting cross - legged on the top of a big table by the window , sewing away with all their might , while the tailor 's wife was sitting beside the fire carding lint. when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . when the wee bannock came trundling across the floor , all three tailors got such a fright that they jumped down from the table and hid behind the master tailor 's wife . "" hoot , "" she said , "" what a set of cowards ye be ! it is but a nice wee bannock . get hold of it and divide it between you , and i 'll fetch you all a drink of milk . "" so she jumped up with her lint and her lint cards , and the tailor jumped up with his great shears , and one apprentice grasped the line measure , while another took up the saucer full of pins ; and they all tried to catch the wee bannock . but it dodged them round and round the fire , and at last it got safely out of the door and ran down the road , with one of the apprentices after it , who tried to snip it in two with his shears . it ran too",0.024539877300613498,0.01234567901234568,0.024539877300613498,0.024539877300613498,0.01846153846153846,0.0,0.012307692307692308,0.012307692307692308,0.0074249960975822735,"[0.016853932584269662, 0.011267605633802818, 0.005649717514124294, 0.0028328611898017]",1.0,59.166666666666664,355,6,0.005016327938247401,"[0.014044943820224719, 0.005633802816901409, 0.002824858757062147, 0.0028328611898017]",1.0,71.0,355,5,-1.8416969,-2.0483496
7,why would ryn jin by happy to meet the happy hunter ?,implicit,"princess tayotama listened to this long story , and then said : "" not only is it easy for you to see my father , but he will be much pleased to meet you . i am sure he will say that good fortune has befallen him , that so great and noble a man as you , the grandson of amaterasu , should come down to the bottom of the sea . "" and then turning to her younger sister , she said : "" do you not think so , tamayori ? "" "" yes , indeed , "" answered the princess tamayori , in her sweet voice . "" as you sa",happy hunter is the grandson of amaterasu .,he will say that good fortune has befallen him .,1. princess tayotama listened to this long story 2. welcome the mikoto to our home 3. i am sure he will say that good fortune has befallen him 4. i am sure he will say that good fortune has befallen him,0.04166666666666667,0.0,0.04166666666666667,0.04166666666666667,0.36,0.33333333333333337,0.36,0.36,0.02958403749882612,"[0.06521739130434782, 0.022222222222222223, 0.022727272727272728, 0.023255813953488372]",1.0,5.625,45,8,0.19396927209044976,"[0.2391304347826087, 0.2, 0.18181818181818182, 0.16279069767441862]",1.0,4.5,45,10,-1.5060365,-0.26933578
8,why did maie want her husband to set the herring-net on saturday ?,implicit,"but the herring were now ready , and the students ate enough for six , and gave prince some cold meat which they happened to have in the boat . prince sat on his hind legs with delight and mewed like a pussy cat . when all was finished , the students handed matte a shining silver coin , and allowed him to fill his pipe with a special kind of tobacco . they then thanked him for his kind hospitality and went on their journey , much regretted by prince , who sat with a woeful expression and whined ",she wanted to try the magic rhymes .,she wanted to recite the magic rhymes .,1. ahti 2. the herring - net 3. the story about ahti 4. he did not fish on sunday,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,0.05856458233275369,"[0.125, 0.043478260869565216, 0.045454545454545456, 0.047619047619047616]",1.0,2.875,23,8,0.05856458233275369,"[0.125, 0.043478260869565216, 0.045454545454545456, 0.047619047619047616]",1.0,2.875,23,8,-1.6887733,-1.5560535
9,why didn't the widowed mistress tease the old woman anymore ?,implicit,""" oh , sweet madam mistress , "" she cried , "" spare me my bairn , and take , and thou wilt , the pig instead . "" "" we have no need of bacon where i come from , "" answered the fairy coldly ; "" so give me the laddie and let me begone -- i have no time to waste in this wise . "" "" oh , dear lady mine , "" pleaded the goodwife , "" if thou wilt not have the pig , wilt thou not spare my poor bairn and take me myself ? "" the fairy stepped back a little , as if in astonishment . "" art thou mad , woman , """,the widowed mistress became angry at her .,she got mad at the old woman .,1. The story is about a fairy . 2. The story is about a fairy . 3. The story is about a fairy . 4. The fairy cried contemptuously . 5. The fairy cried contemptuously . 6. The fairy cried contemptuously . 7. The fairy cried contemptuously . 8. The fairy cried contemptuously . 9. The fairy cried contemptuously . 10. The fairy cried contemptuously .,0.031746031746031744,0.0,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.0,0.031746031746031744,0.031746031746031744,0.015752815038467736,"[0.025974025974025976, 0.013157894736842105, 0.013333333333333334, 0.013513513513513514]",1.0,9.5,76,8,0.015752815038467736,"[0.025974025974025976, 0.013157894736842105, 0.013333333333333334, 0.013513513513513514]",1.0,9.5,76,8,-1.3625872,-1.4115112
