id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
0,how will harold feel after he find out that his brother is engaged to lady morna ?,explicit,"she agreed willingly . hiding her rosy face on his shoulder , she confessed that she had loved him from the very first day that she had seen him ; and ever since that moment she had determined that , if she could not we d him , she would we d no other man . for a little time they sat together , rejoicing in their new - found happiness . then earl paul sprang to his feet . "" let us go and tell the good news to my mother and my brother , "" he said . "" harold may be disappointed at first , for i kn",angry .,rage and fury .,"harold may be disappointed at first , for i know better than her lover , what earl harold 's feeling would be ; and she would fain put off the evil hour .",0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.036612667086152566,"[0.058823529411764705, 0.030303030303030304, 0.03125, 0.03225806451612903]",1.0,16.5,33,2,0.0405185766962521,"[0.08823529411764706, 0.030303030303030304, 0.03125, 0.03225806451612903]",1.0,8.25,33,4,-1.4494364,-1.6781313
1,why was the queen to marry some one else ?,explicit,""" well , "" said the man , "" i will lend you a pair of snowshoes . when you stand in them you will come to my brother , who lives a hundred miles further on . he is the lord of all the fishes in the sea . ask him . but do not forget to turn the snowshoes around again . "" the king thanked him , stepped into the snowshoes , and when he came to the one who was lord of all the fishes in the sea , he turned them around , and they ran back like the others . there he once more asked about whiteland . th",the king had not come home again .,the king has not come home again .,"a hat , a cloak and a pair of boots .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.375,11,8,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.375,11,8,-1.3866711,-1.3264737
2,why did the happy hunter not say anything ?,explicit,"nothing would appease the anger of the skillful fisher , for he had a bad disposition , and had always hated his brother because of his virtues , and now with the excuse of the lost fishing hook he planned to kill him and to usurp his place as ruler of japan . the happy hunter knew all this full well , but he could say nothing , for being the younger he owed his elder brother obedience ; so he returned to the seashore and once more began to look for the missing hook . he was much cast down , for",being the younger he owed his elder brother obedience .,he owed his elder brother obedience .,he had lost all hope of ever finding his brother 's hook now .,0.27272727272727276,0.0,0.27272727272727276,0.27272727272727276,0.3157894736842105,0.0,0.3157894736842105,0.3157894736842105,0.11114924776032006,"[0.3333333333333333, 0.07142857142857142, 0.07692307692307693, 0.08333333333333333]",1.0,1.4,14,10,0.11114924776032006,"[0.3333333333333333, 0.07142857142857142, 0.07692307692307693, 0.08333333333333333]",1.0,2.0,14,7,-0.87676084,-0.9804743
3,what did the widowed mistress do after the old woman disappeared ?,explicit,""" ye promised me what i liked to ask , and i have asked your son ; and your son i will have , "" she replied , "" so it is useless making such a din about it . but one thing i may tell you , for i know well that the knowledge will not help you . by the laws of fairy - land , i can not take the bairn till the third day after this , and if by that time you have found out my name i can not take him even then . but ye will not be able to find it out , of that i am certain . so i will call back for the",fell down in a dead faint beside the stone .,fall down in a dead faint beside the stone .,"sit in her kitchen and cry , and hug her baby tighter in her arms .",0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.08513012360883544,"[0.17647058823529413, 0.0625, 0.06666666666666667, 0.07142857142857142]",1.0,1.6,16,10,0.08513012360883544,"[0.17647058823529413, 0.0625, 0.06666666666666667, 0.07142857142857142]",1.0,1.6,16,10,-1.3150328,-1.2583556
4,what did andrew always insist ?,explicit,"there was once a rich peasant who had two sons , named john nicholas and lucky andrew . the oldest was one of those fellows of whom one never can quite make head or tail . he was a most unpleasant customer to deal with , and he was more grasping and greedy than the folk of the northland are , as a rule , though it is only too rare to find them unblessed with these attractive qualities . the other , lucky andrew , was wild and high spirited , but always good natured , and no matter how badly off ",he had been born under a lucky star .,that he bad been born under a lucky star .,he had been born under a lucky star .,1.0,1.0,1.0,1.0,0.823529411764706,0.6666666666666666,0.823529411764706,0.823529411764706,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,9,9,0.7002496081947426,"[0.9, 0.7777777777777778, 0.75, 0.7142857142857143]",0.8948393168143697,0.9,9,10,1.043935,-0.21519747
5,what was at the bottom of the sea ?,explicit,"the palace of rin jin was at the bottom of the sea , and was so beautiful that no one has ever seen anything like it even in dreams . the walls were of coral , the roof of jadestone and chrysoprase , and the floors were of the finest mother - of - pearl . but the dragon king , in spite of his wide - spreading kingdom , his beautiful palace and all its wonders , and his power which none disputed throughout the whole sea , was not at all happy , for he reigned alone . at last he thought that if he",the palace of rin jin .,the palace of rin jin .,"the palace of rin jin was at the bottom of the sea , and was so beautiful that no one has ever seen anything like it even in dreams .",0.30303030303030304,0.25806451612903225,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.25806451612903225,0.30303030303030304,0.30303030303030304,0.15356865413172346,"[0.22580645161290322, 0.16666666666666666, 0.13793103448275862, 0.10714285714285714]",1.0,5.0,30,6,0.15356865413172346,"[0.22580645161290322, 0.16666666666666666, 0.13793103448275862, 0.10714285714285714]",1.0,5.0,30,6,-0.78538346,-0.78538346
6,what was the jelly fish able to do ?,explicit,"the chief steward thought for some time , and then , as if struck by a sudden thought , said joyfully : "" i know what we must do ! there is the kurage ( jelly fish ) . he is certainly ugly to look at , but he is proud of being able to walk on land with his four legs like a tortoise . let us send him to the island of monkeys to catch one . "" the jelly fish was then summoned to the king 's presence , and was told by his majesty what was required of him . the jelly fish , on being told of the unexp",walk on land with his four legs like a tortoise .,walk on land with his four legs like a tortoise .,walk on land with his four legs like a tortoise .,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,11,11,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,11,11,1.0953176,1.0953176
7,where could john nicholas see the trolls ?,explicit,"but the latter , who suspected where all this wealth had come from , did not wish to be any poorer than andrew . he knew that trolls and goblins walk mainly on christmas eve , and for that reason he sailed out to the sand banks at that time . and on christmas eve he did see a light or fire , but it seemed to be like will - o'-the - wisps fluttering about . when he came nearer he heard splashes , horrible howls , and cold , piercing cries , and there was a smell of slime and sea - weed , as at eb",the hut .,on the shore .,the shore .,0.5,0.0,0.5,0.5,0.8,0.6666666666666666,0.8,0.8,0.5946035575013605,"[0.75, 0.3333333333333333, 0.5, 1.0]",1.0,1.0,3,3,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,-0.943467,0.4489479
8,what did the second sister give ian ?,explicit,"the fisher 's son did as the woman told him , and everything happened just as she had said . but at parting the second sister said to him , as she gave him another pair of shoes : ' go to my third sister , for she has a son who is keeper of the birds of the air , and sends them to sleep when night comes . he is very wise , and perhaps he can help you . ' then the young man thanked her , and went to the third sister .",another pair of shoes .,another pair of shoes .,"a son who is keeper of the birds of the air , and sends them to sleep when night comes .",0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.06429451441231726,"[0.13636363636363635, 0.047619047619047616, 0.05, 0.05263157894736842]",1.0,4.2,21,5,0.06429451441231726,"[0.13636363636363635, 0.047619047619047616, 0.05, 0.05263157894736842]",1.0,4.2,21,5,-2.010484,-2.010484
9,who gives the princess the gift of dying by spindle ?,explicit,"the old fairy 's turn coming next , with a head shaking more with spite than age , she said that the princess should have her hand pierced with a spindle and die of the wound . this terrible gift made the whole company tremble , and everybody fell a - crying . at this very instant the young fairy came out from behind the hangings , and spake these words aloud : "" assure yourselves , o king and queen , that your daughter shall not die of this disaster . it is true , i have no power to undo entire",the old fairy .,the old fairy .,"the whole company tremble , and everybody fell a - crying .",0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.11498759556447223,"[0.23076923076923078, 0.08333333333333333, 0.09090909090909091, 0.1]",1.0,3.0,12,4,0.11498759556447223,"[0.23076923076923078, 0.08333333333333333, 0.09090909090909091, 0.1]",1.0,3.0,12,4,-1.7402731,-1.7402731
